,Predictive Scale,Learner,Explainer,All features ACC,Pred features ACC,Prog features ACC,PEHE,CATE true mean,CATE true var,Normalized PEHE
0,0.001,DRLearner,feature_ablation,0.628030303030303,0.36068181818181816,0.30454545454545456,0.08776469381935814,0.00018216356440041147,2.4791545906056605e-06,55.740137768207816
1,0.001,XLearner,feature_ablation,0.6263636363636363,0.3534090909090909,0.3659090909090909,0.10036691158028531,0.00018216356440041147,2.4791545906056605e-06,63.7439183730243
2,0.001,DRLearner,feature_permutation,0.5966666666666667,0.37863636363636366,0.27045454545454545,0.08776469381935814,0.00018216356440041147,2.4791545906056605e-06,55.740137768207816
3,0.001,XLearner,feature_permutation,0.5948484848484848,0.3659090909090909,0.20227272727272727,0.10036691158028531,0.00018216356440041147,2.4791545906056605e-06,63.7439183730243
4,0.001,DRLearner,integrated_gradients,0.6261363636363636,0.3589772727272727,0.3,0.08776469381935814,0.00018216356440041147,2.4791545906056605e-06,55.740137768207816
5,0.001,XLearner,integrated_gradients,0.6268939393939394,0.3538636363636364,0.31363636363636366,0.10036691158028531,0.00018216356440041147,2.4791545906056605e-06,63.7439183730243
6,0.001,DRLearner,shapley_value_sampling,0.6262878787878788,0.35261363636363635,0.3409090909090909,0.08776469381935814,0.00018216356440041147,2.4791545906056605e-06,55.740137768207816
7,0.001,XLearner,shapley_value_sampling,0.6278030303030303,0.3544318181818182,0.325,0.10036691158028531,0.00018216356440041147,2.4791545906056605e-06,63.7439183730243
8,0.01,DRLearner,feature_ablation,0.6278787878787879,0.3628409090909091,0.28863636363636364,0.08727592663543939,0.0018216356440041148,0.00024791545906056606,5.54297173818018
9,0.01,XLearner,feature_ablation,0.6271969696969697,0.3559090909090909,0.3477272727272727,0.09896421723097656,0.0018216356440041148,0.00024791545906056606,6.2853054713907754
10,0.01,DRLearner,feature_permutation,0.5974242424242424,0.3790909090909091,0.2545454545454545,0.08727592663543939,0.0018216356440041148,0.00024791545906056606,5.54297173818018
11,0.01,XLearner,feature_permutation,0.5956818181818182,0.36829545454545454,0.19772727272727272,0.09896421723097656,0.0018216356440041148,0.00024791545906056606,6.2853054713907754
12,0.01,DRLearner,integrated_gradients,0.6281060606060606,0.3668181818181818,0.2840909090909091,0.08727592663543939,0.0018216356440041148,0.00024791545906056606,5.54297173818018
13,0.01,XLearner,integrated_gradients,0.6262878787878788,0.3552272727272727,0.2863636363636364,0.09896421723097656,0.0018216356440041148,0.00024791545906056606,6.2853054713907754
14,0.01,DRLearner,shapley_value_sampling,0.6267424242424242,0.3594318181818182,0.32727272727272727,0.08727592663543939,0.0018216356440041148,0.00024791545906056606,5.54297173818018
15,0.01,XLearner,shapley_value_sampling,0.6271969696969697,0.35375,0.29772727272727273,0.09896421723097656,0.0018216356440041148,0.00024791545906056606,6.2853054713907754
16,0.1,DRLearner,feature_ablation,0.6275,0.3906818181818182,0.07954545454545454,0.09192857993856673,0.01821635644004115,0.02479154590605661,0.5838465888296869
17,0.1,XLearner,feature_ablation,0.6287121212121212,0.4072727272727273,0.09090909090909091,0.09704012758131426,0.01821635644004115,0.02479154590605661,0.6163104826138934
18,0.1,DRLearner,feature_permutation,0.5965909090909091,0.39988636363636365,0.07045454545454545,0.09192857993856673,0.01821635644004115,0.02479154590605661,0.5838465888296869
19,0.1,XLearner,feature_permutation,0.5965909090909091,0.4094318181818182,0.05909090909090909,0.09704012758131426,0.01821635644004115,0.02479154590605661,0.6163104826138934
20,0.1,DRLearner,integrated_gradients,0.6284848484848485,0.3885227272727273,0.08181818181818182,0.09192857993856673,0.01821635644004115,0.02479154590605661,0.5838465888296869
21,0.1,XLearner,integrated_gradients,0.6260606060606061,0.4113636363636364,0.06363636363636363,0.09704012758131426,0.01821635644004115,0.02479154590605661,0.6163104826138934
22,0.1,DRLearner,shapley_value_sampling,0.6309848484848485,0.38329545454545455,0.08181818181818182,0.09192857993856673,0.01821635644004115,0.02479154590605661,0.5838465888296869
23,0.1,XLearner,shapley_value_sampling,0.6275757575757576,0.41420454545454544,0.031818181818181815,0.09704012758131426,0.01821635644004115,0.02479154590605661,0.6163104826138934
24,0.5,DRLearner,feature_ablation,0.6310606060606061,0.43454545454545457,0.006818181818181818,0.17807877543145179,0.09108178220020573,0.6197886476514153,0.2261988288040599
25,0.5,XLearner,feature_ablation,0.63,0.4618181818181818,0.0,0.1491006557128598,0.09108178220020573,0.6197886476514153,0.18939030557939016
26,0.5,DRLearner,feature_permutation,0.5984848484848485,0.4421590909090909,0.0022727272727272726,0.17807877543145179,0.09108178220020573,0.6197886476514153,0.2261988288040599
27,0.5,XLearner,feature_permutation,0.5971212121212122,0.4531818181818182,0.0,0.1491006557128598,0.09108178220020573,0.6197886476514153,0.18939030557939016
28,0.5,DRLearner,integrated_gradients,0.6309090909090909,0.44295454545454543,0.0022727272727272726,0.17807877543145179,0.09108178220020573,0.6197886476514153,0.2261988288040599
29,0.5,XLearner,integrated_gradients,0.6297727272727273,0.4731818181818182,0.0,0.1491006557128598,0.09108178220020573,0.6197886476514153,0.18939030557939016
30,0.5,DRLearner,shapley_value_sampling,0.6304545454545455,0.45284090909090907,0.0022727272727272726,0.17807877543145179,0.09108178220020573,0.6197886476514153,0.2261988288040599
31,0.5,XLearner,shapley_value_sampling,0.6315151515151515,0.48045454545454547,0.0,0.1491006557128598,0.09108178220020573,0.6197886476514153,0.18939030557939016
32,1.0,DRLearner,feature_ablation,0.6306060606060606,0.4590909090909091,0.0,0.26291272095658347,0.18216356440041145,2.479154590605661,0.166978207857679
